"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TCS","EQ","23-Jan-2025","4,156.60","4,168.00","4,191.35","4,140.05","4,148.00","4,145.45","4,161.12","18,22,998","7,58,57,18,475.40","1,39,860","11,24,451","61.68"
"TCS","EQ","24-Jan-2025","4,145.45","4,104.00","4,178.00","4,104.00","4,153.10","4,152.35","4,155.62","19,10,099","7,93,76,40,859.20","99,760","13,17,211","68.96"
"TCS","EQ","27-Jan-2025","4,152.35","4,102.00","4,156.35","4,041.05","4,067.00","4,065.15","4,088.62","15,51,782","6,34,46,44,149.25","1,43,859","10,13,049","65.28"
"TCS","EQ","28-Jan-2025","4,065.15","4,070.80","4,102.00","4,028.30","4,040.00","4,040.30","4,057.30","24,68,272","10,01,45,14,674.15","1,50,121","15,05,478","60.99"
"TCS","EQ","29-Jan-2025","4,040.30","4,054.00","4,107.85","4,054.00","4,105.00","4,099.80","4,091.12","12,17,089","4,97,92,53,773.00","1,08,284","6,97,347","57.30"
"TCS","EQ","30-Jan-2025","4,099.80","4,099.90","4,129.90","4,058.50","4,100.00","4,100.05","4,098.87","15,31,251","6,27,64,04,777.90","97,767","8,59,803","56.15"
"TCS","EQ","31-Jan-2025","4,100.05","4,110.00","4,128.45","4,085.25","4,114.15","4,112.40","4,106.05","14,92,943","6,13,01,03,902.20","1,21,858","10,42,620","69.84"
"TCS","EQ","01-Feb-2025","4,112.40","4,113.00","4,135.90","4,056.00","4,073.00","4,073.15","4,082.48","4,37,172","1,78,47,47,121.10","49,186","1,75,483","40.14"
"TCS","EQ","03-Feb-2025","4,073.15","4,030.90","4,077.00","3,998.70","4,064.00","4,068.65","4,045.97","12,65,713","5,12,10,41,211.00","1,55,134","7,82,762","61.84"
"TCS","EQ","04-Feb-2025","4,068.65","4,083.70","4,118.85","4,066.05","4,105.15","4,107.05","4,098.00","25,47,132","10,43,81,41,551.80","1,41,942","18,43,488","72.38"
"TCS","EQ","05-Feb-2025","4,107.05","4,150.00","4,150.00","4,076.00","4,086.00","4,091.10","4,096.29","16,93,912","6,93,87,52,665.75","1,30,235","11,99,334","70.80"
"TCS","EQ","06-Feb-2025","4,091.10","4,105.40","4,139.50","4,051.55","4,087.00","4,082.75","4,080.65","22,84,536","9,32,23,89,842.50","1,83,903","13,96,375","61.12"
"TCS","EQ","07-Feb-2025","4,082.75","4,090.00","4,090.00","4,008.00","4,032.00","4,029.40","4,033.06","15,48,940","6,24,69,65,406.40","1,77,110","9,93,255","64.12"
"TCS","EQ","10-Feb-2025","4,029.40","4,040.00","4,052.00","4,014.35","4,034.00","4,036.95","4,035.26","13,39,511","5,40,52,79,190.45","1,33,697","8,91,261","66.54"
"TCS","EQ","11-Feb-2025","4,036.95","4,018.40","4,040.00","3,955.00","3,967.00","3,963.55","3,989.58","18,10,908","7,22,47,58,107.05","1,21,478","10,10,823","55.82"
"TCS","EQ","12-Feb-2025","3,963.55","3,971.10","4,021.75","3,940.15","3,956.25","3,950.15","3,978.32","16,78,002","6,67,56,28,781.95","1,28,576","8,77,252","52.28"
"TCS","EQ","13-Feb-2025","3,950.15","3,968.00","3,984.45","3,902.25","3,920.00","3,910.15","3,930.80","22,77,310","8,95,16,39,767.60","1,63,030","14,98,339","65.79"
"TCS","EQ","14-Feb-2025","3,910.15","3,925.00","3,948.00","3,900.00","3,928.00","3,934.85","3,921.57","16,81,975","6,59,59,86,554.05","1,63,805","11,23,005","66.77"
"TCS","EQ","17-Feb-2025","3,934.85","3,856.50","3,934.00","3,856.20","3,908.00","3,904.50","3,911.78","17,99,806","7,04,04,39,519.80","1,68,626","12,24,845","68.05"
"TCS","EQ","18-Feb-2025","3,904.50","3,898.40","3,924.40","3,864.50","3,873.00","3,873.20","3,891.66","21,49,879","8,36,65,96,747.55","1,35,773","15,16,041","70.52"
"TCS","EQ","19-Feb-2025","3,873.20","3,872.20","3,874.95","3,768.15","3,785.00","3,784.10","3,796.48","43,66,672","16,57,80,04,180.70","2,29,923","31,34,639","71.79"
"TCS","EQ","20-Feb-2025","3,784.10","3,761.50","3,788.00","3,751.30","3,788.00","3,779.40","3,772.99","28,88,572","10,89,85,64,437.85","1,84,053","21,95,342","76.00"
"TCS","EQ","21-Feb-2025","3,779.40","3,776.10","3,817.00","3,775.00","3,789.90","3,786.00","3,792.04","18,33,931","6,95,43,38,537.80","1,25,392","11,59,950","63.25"
"TCS","EQ","24-Feb-2025","3,786.00","3,743.15","3,763.20","3,670.00","3,671.00","3,675.60","3,701.20","25,08,516","9,28,45,23,845.20","1,72,279","18,28,578","72.89"
"TCS","EQ","25-Feb-2025","3,675.60","3,625.00","3,658.00","3,621.25","3,627.00","3,629.55","3,638.67","41,01,954","14,92,56,47,967.55","1,98,489","28,71,986","70.02"
"TCS","EQ","27-Feb-2025","3,629.55","3,611.70","3,638.00","3,600.70","3,608.05","3,612.55","3,613.50","38,23,856","13,81,74,96,735.80","2,12,465","30,58,793","79.99"
"TCS","EQ","28-Feb-2025","3,612.55","3,584.95","3,600.00","3,457.00","3,478.00","3,483.25","3,491.80","70,85,018","24,73,94,64,379.85","3,40,110","50,87,477","71.81"
"TCS","EQ","03-Mar-2025","3,483.25","3,485.00","3,523.25","3,476.15","3,506.00","3,493.05","3,497.97","49,90,439","17,45,63,99,246.20","2,48,034","39,03,959","78.23"
"TCS","EQ","04-Mar-2025","3,493.05","3,474.00","3,551.00","3,464.30","3,533.00","3,532.05","3,518.16","27,97,737","9,84,28,80,030.30","1,57,084","18,37,354","65.67"
"TCS","EQ","05-Mar-2025","3,532.05","3,520.85","3,600.35","3,520.85","3,557.00","3,547.05","3,561.68","25,01,894","8,91,09,37,236.55","1,45,336","16,95,934","67.79"
"TCS","EQ","06-Mar-2025","3,547.05","3,557.00","3,609.45","3,536.10","3,592.10","3,601.60","3,571.61","27,86,513","9,95,23,39,476.20","2,01,910","17,92,915","64.34"
"TCS","EQ","07-Mar-2025","3,601.60","3,600.00","3,625.00","3,574.40","3,602.00","3,611.20","3,605.34","20,51,315","7,39,56,90,221.35","1,31,372","13,92,501","67.88"
"TCS","EQ","10-Mar-2025","3,611.20","3,606.50","3,622.10","3,582.60","3,589.00","3,589.65","3,602.11","10,04,626","3,61,87,76,661.30","75,981","6,54,716","65.17"
"TCS","EQ","11-Mar-2025","3,589.65","3,558.00","3,588.75","3,537.65","3,585.00","3,575.30","3,567.93","19,95,450","7,11,96,17,263.55","1,42,820","13,05,684","65.43"
"TCS","EQ","12-Mar-2025","3,575.30","3,565.00","3,569.25","3,486.85","3,507.80","3,506.20","3,504.81","31,74,167","11,12,48,52,701.55","1,75,588","20,49,932","64.58"
"TCS","EQ","13-Mar-2025","3,506.20","3,502.30","3,524.30","3,484.10","3,509.05","3,511.05","3,504.71","16,93,004","5,93,34,91,139.45","98,963","10,74,125","63.44"
"TCS","EQ","17-Mar-2025","3,511.05","3,489.00","3,530.45","3,477.35","3,499.90","3,497.70","3,496.62","26,90,906","9,40,90,68,295.75","1,71,510","18,91,043","70.28"
"TCS","EQ","18-Mar-2025","3,497.70","3,502.35","3,556.95","3,478.45","3,545.65","3,552.45","3,530.44","30,69,109","10,83,52,99,304.90","1,39,204","20,47,199","66.70"
"TCS","EQ","19-Mar-2025","3,552.45","3,547.00","3,547.00","3,462.75","3,505.00","3,497.10","3,484.81","30,51,244","10,63,29,94,898.70","1,81,144","18,64,625","61.11"
"TCS","EQ","20-Mar-2025","3,497.10","3,512.00","3,578.95","3,512.00","3,556.50","3,563.15","3,559.81","28,45,192","10,12,83,43,015.65","1,56,792","18,73,064","65.83"
"TCS","EQ","21-Mar-2025","3,563.15","3,475.00","3,616.25","3,465.00","3,578.00","3,578.10","3,561.68","41,61,925","14,82,34,64,307.85","1,88,951","25,15,047","60.43"
"TCS","EQ","24-Mar-2025","3,578.10","3,600.00","3,649.75","3,566.60","3,633.00","3,628.95","3,615.19","18,34,751","6,63,29,70,557.70","1,07,825","11,06,270","60.30"
"TCS","EQ","25-Mar-2025","3,628.95","3,645.00","3,710.00","3,638.00","3,641.00","3,657.75","3,673.54","31,35,390","11,51,79,85,340.80","1,81,313","16,75,966","53.45"
