"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ITC","EQ","29-Jul-2024","502.20","505.50","506.20","494.05","496.25","496.05","498.40","1,24,96,895","6,22,84,64,277.80","1,59,533","70,59,351","56.49"
"ITC","EQ","30-Jul-2024","496.05","496.30","497.80","488.65","490.50","489.90","491.81","1,33,75,906","6,57,84,25,923.00","1,71,911","87,08,732","65.11"
"ITC","EQ","31-Jul-2024","489.90","492.45","497.95","490.50","495.50","495.35","494.03","1,15,38,215","5,70,02,70,817.40","1,84,885","59,59,946","51.65"
"ITC","EQ","01-Aug-2024","495.35","495.95","496.75","490.95","493.05","493.70","493.72","1,16,65,529","5,75,95,53,105.75","1,67,982","62,51,851","53.59"
"ITC","EQ","02-Aug-2024","493.70","484.80","499.45","484.80","488.85","489.10","491.08","2,13,20,064","10,46,99,40,924.65","2,53,754","67,13,121","31.49"
"ITC","EQ","05-Aug-2024","489.10","480.05","491.90","479.55","485.90","486.00","485.81","2,40,94,139","11,70,52,82,411.05","2,40,878","1,57,35,760","65.31"
"ITC","EQ","06-Aug-2024","486.00","486.25","491.70","484.05","487.80","486.30","487.52","1,37,22,855","6,69,01,15,892.10","1,65,576","86,17,469","62.80"
"ITC","EQ","07-Aug-2024","486.30","490.00","495.60","488.10","492.75","492.65","491.96","1,09,00,585","5,36,26,50,358.25","1,73,490","58,73,071","53.88"
"ITC","EQ","08-Aug-2024","492.65","494.00","498.00","492.50","494.15","494.75","494.99","2,05,58,134","10,17,59,99,936.05","2,50,724","1,27,48,162","62.01"
"ITC","EQ","09-Aug-2024","494.75","498.00","498.00","493.10","496.15","495.90","495.38","92,01,793","4,55,83,87,017.25","1,44,367","61,17,841","66.49"
"ITC","EQ","12-Aug-2024","495.90","492.00","500.00","492.00","494.40","494.60","497.04","90,76,097","4,51,11,89,537.95","1,33,143","52,01,031","57.30"
"ITC","EQ","13-Aug-2024","494.60","495.95","497.85","488.25","491.50","490.00","493.29","77,57,706","3,82,67,62,550.05","1,19,952","42,11,351","54.29"
"ITC","EQ","14-Aug-2024","490.00","491.95","499.00","489.90","492.55","492.20","494.04","92,53,598","4,57,16,25,348.00","1,50,643","48,01,558","51.89"
"ITC","EQ","16-Aug-2024","492.20","494.50","504.20","492.65","502.05","502.65","498.53","1,31,37,392","6,54,94,43,406.85","1,64,043","69,68,553","53.04"
"ITC","EQ","19-Aug-2024","502.65","504.75","509.30","499.60","499.95","501.45","504.39","1,01,98,725","5,14,41,20,039.10","1,66,648","57,76,498","56.64"
"ITC","EQ","20-Aug-2024","501.45","501.00","503.40","497.70","498.50","498.80","499.95","66,33,171","3,31,62,78,832.00","1,15,083","38,02,591","57.33"
