Symbol,Series,Date,Prev_Close,Open,High,Low,Last,Close,Average,Volume,Turnover,Trades,Deliverable_Qty,Deliverable_Pct,Ticker,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,MACD_Signal,MACD_Histogram,Bollinger_High,Bollinger_Low,Bollinger_Middle,Williams_%R,ATR,Target_1,Target_5,Target_21,Target_63,Target_126,Target_252
HDFCBANK,EQ,2023-11-09,1491.55,1486.0,1492.6,1483.5,1486.5,1485.65,1487.69,11058370,"16,45,14,04,289.60","2,81,527","62,63,802",56.64,HDFCBANK,1500.2275,1542.71,1490.1832802994916,1506.3701162366876,41.3085727377859,-16.186835937196065,-18.712012098858143,2.5251761616620776,1550.2444218864955,1450.2105781135044,1500.2275,-62.91970802919695,20.538042969735184,1,1,1,0,0,1
HDFCBANK,EQ,2023-11-10,1485.65,1480.1,1496.0,1480.05,1495.0,1491.5,1486.67,7007593,"10,41,79,71,067.75","1,81,055","39,24,576",56.0,HDFCBANK,1497.31,1540.734,1490.3858525611083,1505.268626145081,43.91499806336436,-14.882773583972721,-17.94616439588106,3.063390811908338,1541.9239059038748,1452.696094096125,1497.31,-54.37956204379562,20.210325614754105,1,1,1,0,0,1
HDFCBANK,EQ,2023-11-12,1491.5,1500.0,1502.0,1496.15,1499.0,1500.0,1499.5,1975463,"2,96,22,07,492.65","85,801","7,72,458",39.1,HDFCBANK,1495.5225,1539.16,1491.8649521670916,1504.8783575417417,47.559084140153516,-13.01340537465012,-16.959612591634873,3.946207216984753,1536.5534697058185,1454.4915302941815,1495.5225,-36.45083932853712,19.516730927985954,0,1,1,0,0,1
HDFCBANK,EQ,2023-11-13,1500.0,1492.1,1495.95,1485.9,1489.0,1488.8,1490.72,10302957,"15,35,88,48,457.45","3,18,892","53,82,293",52.24,HDFCBANK,1493.4824999999998,1537.507,1491.393421064462,1503.6873680942053,43.544344168844376,-12.293947029743322,-16.02647947925656,3.73253244951324,1531.4782533811315,1455.4867466188682,1493.4824999999998,-34.74285714285725,19.12982157598695,1,1,1,0,0,1
HDFCBANK,EQ,2023-11-15,1488.8,1504.1,1510.95,1500.55,1504.8,1504.4,1505.7,20622730,"31,05,15,66,881.50","3,31,586","1,12,54,599",54.57,HDFCBANK,1491.6425000000002,1536.101,1493.3944332083909,1503.7401556427828,49.88952129370451,-10.345722434391973,-14.890328070283644,4.544605635891671,1523.2428366279505,1460.0421633720498,1491.6425000000002,-13.353720693170153,19.345548606273603,1,1,1,0,0,1
HDFCBANK,EQ,2023-11-16,1504.4,1509.7,1519.0,1503.75,1508.0,1508.35,1511.01,14856919,"22,44,90,02,896.90","2,70,257","92,11,530",62.0,HDFCBANK,1491.0725,1534.5770000000002,1495.695289637869,1504.0816255951693,51.37960929653233,-8.386335957300162,-13.589529647686948,5.203193690386787,1520.9907799472123,1461.1542200527877,1491.0725,-18.651488616462537,19.053009420111202,0,1,1,0,0,1
HDFCBANK,EQ,2023-11-17,1508.35,1490.0,1507.5,1489.0,1505.0,1505.1,1502.48,11850937,"17,80,58,35,559.30","2,98,602","79,24,052",66.86,HDFCBANK,1490.5800000000002,1533.1809999999998,1497.14216815512,1504.1570607362678,50.06059257473851,-7.014892581147706,-12.2746022343791,5.259709653231395,1519.2062187513436,1461.9537812486567,1490.5800000000002,-24.49339207048474,19.074223032960397,1,1,1,0,0,1
HDFCBANK,EQ,2023-11-20,1505.1,1513.0,1513.0,1501.55,1505.9,1505.2,1505.46,9665726,"14,55,13,79,677.65","2,00,480","57,02,845",59.0,HDFCBANK,1489.7,1531.375,1498.381834592794,1504.2343154965442,50.10303839464241,-5.852480903750347,-10.99017796825335,5.137697064503003,1515.224223788389,1464.175776211611,1489.7,-24.317180616740007,18.52963567346323,1,1,1,0,1,1
HDFCBANK,EQ,2023-11-21,1505.2,1519.0,1522.0,1512.1,1518.25,1517.95,1517.79,12479986,"18,94,19,39,824.75","2,91,918","75,56,905",60.55,HDFCBANK,1490.2949999999998,1529.517,1501.3923215785178,1505.25029212643,55.317654834950794,-3.8579705479121458,-9.56373648418511,5.7057659362729645,1517.7944163574386,1462.795583642561,1490.2949999999998,-7.383773928896921,18.406090268215852,0,1,1,0,1,1
HDFCBANK,EQ,2023-11-22,1517.95,1520.0,1520.0,1503.55,1512.9,1512.55,1513.24,14561825,"22,03,55,95,098.85","2,61,084","49,91,663",34.28,HDFCBANK,1491.0974999999999,1527.3,1503.1088874895152,1505.7910112281759,52.800806292259466,-2.682123738660721,-8.187413935080233,5.505290196419512,1520.166357476684,1462.0286425233157,1491.0974999999999,-21.093750000000124,18.266369534771865,1,1,1,0,1,1
HDFCBANK,EQ,2023-11-23,1512.55,1508.5,1523.85,1508.5,1521.7,1521.3,1519.21,6523110,"9,90,99,95,976.95","1,70,796","38,34,686",58.79,HDFCBANK,1493.9925,1525.09,1505.907520183436,1506.939825211274,56.272541060234225,-1.0323050278379924,-6.7563921536317855,5.724087125793793,1522.9835723326992,1465.001427667301,1493.9925,-5.466237942122105,18.058057425145297,1,1,1,0,0,1
HDFCBANK,EQ,2023-11-24,1521.3,1521.2,1533.15,1519.85,1531.4,1532.1,1529.01,8234596,"12,59,07,57,692.80","1,91,494","57,71,108",70.08,HDFCBANK,1497.1399999999999,1522.994,1509.9371324629074,1508.8035418622908,60.16706724327248,1.1335906006165715,-5.178395602782114,6.3119862033986855,1528.2504741204598,1466.02952587954,1497.1399999999999,-1.8766756032174818,17.718196180492075,0,1,1,0,0,1
HDFCBANK,EQ,2023-11-28,1532.1,1535.2,1537.25,1525.8,1530.95,1528.65,1531.88,14244669,"21,82,11,67,498.85","2,54,566","1,03,73,959",72.83,HDFCBANK,1499.3175,1520.6889999999999,1512.8160351609217,1510.2736498724914,58.378387833442346,2.542385288430296,-3.6342394245396323,6.176624712969929,1532.7611731684758,1465.8738268315244,1499.3175,-15.034965034964864,17.2704678818855,1,1,1,0,1,1
HDFCBANK,EQ,2023-11-29,1528.65,1533.9,1563.0,1533.0,1560.3,1559.15,1547.46,17021244,"26,33,97,38,845.55","3,14,977","1,25,73,984",73.87,HDFCBANK,1503.45,1519.014,1519.944337443857,1513.894120252307,67.56001637564384,6.0502171915500185,-1.6973481013217022,7.7475652928717205,1544.2179653649755,1462.6820346350246,1503.45,-4.641350210970352,18.49043446175082,0,1,1,0,1,1
HDFCBANK,EQ,2023-11-30,1559.15,1569.15,1572.45,1542.15,1556.6,1558.8,1555.55,34745720,"54,04,86,90,749.35","3,52,886","2,41,27,159",69.44,HDFCBANK,1507.665,1516.955,1525.9221316832636,1517.220481715099,67.37633670019784,8.701649968164702,0.3824515125755785,8.319198455589124,1552.7877891425146,1462.5422108574853,1507.665,-14.772727272727357,19.333974857340042,0,1,1,0,0,1
HDFCBANK,EQ,2023-12-01,1558.8,1557.9,1565.75,1552.1,1552.35,1555.4,1559.16,11076768,"17,27,04,79,586.70","2,99,721","78,16,765",70.57,HDFCBANK,1511.5975,1515.4820000000002,1530.457188347377,1520.0485941806471,65.51298722316153,10.408594166729927,2.3876800434064482,8.020914123323479,1558.9133163302704,1464.2816836697298,1511.5975,-19.69959560947425,18.927976653244333,1,1,1,0,0,1
HDFCBANK,EQ,2023-12-04,1555.4,1588.0,1612.0,1573.65,1609.15,1609.4,1592.26,25331228,"40,33,38,20,531.20","4,41,679","1,89,92,621",74.98,HDFCBANK,1517.88,1516.3959999999997,1542.6022362939345,1526.6672168339326,76.58766635378139,15.935019460001968,5.097147926725553,10.837871533276415,1579.8386668675166,1455.9213331324836,1517.88,-2.061855670103022,21.61883546372687,1,1,1,0,0,1
